ID	kmeans	network	red
14389528	5	0	1
14389642	0	6	7
14390087	7	3	3
14392842	0	0	6
14393591	5	3	1
14395568	0	0	6
14397482	5	3	1
14397549	5	0	1
14398655	5	0	4
14400596	0	5	5
14400739	6	5	7
14401382	5	5	1
14402387	7	6	3
14403720	0	6	6
14406061	0	6	6
14407489	0	6	6
14408534	0	6	3
14409265	0	6	6
14409894	6	5	7
14410190	0	5	6
14412930	0	6	7
14413715	7	5	3
14416404	6	6	7
14417449	5	3	6
14417508	5	0	6
14423969	5	5	2
14429563	5	0	1
14430504	5	0	4
14438627	0	6	3
14439342	0	6	6
14440427	0	0	1
14442145	0	5	7
14444371	5	5	6
14444596	0	6	3
14444922	0	6	3
14445315	0	2	6
14446776	3	6	7
14451967	0	6	6
14453634	5	6	1
14453698	5	0	6
14456539	0	5	6
14457268	0	6	6
14457887	0	5	6
14459732	0	0	6
14460060	5	5	1
14461282	0	6	6
14461979	5	6	1
14463065	0	6	6
14463726	0	5	6
14472196	7	6	3
14472677	0	6	6
14473069	5	5	1
14473569	5	5	3
14475802	0	0	6
14478263	0	5	3
14478288	0	5	6
14480403	5	5	3
14483506	5	0	1
14486475	0	5	3
14489431	5	6	1
