source	target	count(*)
15070958	25338609	1
1504381754	275686563	1
313531038	979811	1
117106591	784912	1
25128034	15830701	1
14680556	273684907	1
15575993	275686563	1
14068631	6981492	1
226950845	15830701	1
63778068	784912	1
49254976	979811	1
287387862	273684907	1
485076559	17618643	1
11798592	6187302	1
130555211	611823	1
1255770169	979811	1
1006521	15958614	1
1550251	755859	1
9419482	14231571	1
713387798	15830701	1
23823528	19225408	1
771681	127978917	1
101961589	188048136	1
283835279	4641021	1
732784062	312846503	1
5723242	784912	1
17704355	5777542	1
56380633	14635769	1
1160892398	6312822	1
72991740	33243592	1
30593538	611823	1
122665484	39306627	2
310895151	539256085	1
451108446	13945572	1
15209240	273684907	1
63096088	979811	1
15060567	1197619002	1
74471361	23978155	1
15174093	14231571	1
185177057	9688342	1
723829807	731223740	1
5863782	83271185	1
801123	273684907	1
41379002	5834352	1
197955712	51813392	1
8315692	14231571	1
18518062	15267898	1
54466163	979811	1
5777542	784912	1
1120530091	188048136	1
221446048	23978155	1
281987894	145201486	1
252683663	14231571	1
119461439	127978917	1
102102915	265104593	1
33818674	14231571	1
172916423	9688342	1
19664443	127978917	1
37671491	83271185	1
19745636	6312822	1
73338728	784912	1
474283666	83271185	1
41399164	979811	2
762948470	277568858	1
44957981	1006521	1
12724562	273684907	1
69091897	15661911	1
92341675	15830701	1
342328432	188048136	1
36622906	273684907	1
102102915	109433050	1
18093	78453	1
946079773	6187302	1
17212410	273684907	1
44821371	188048136	1
61680659	188048136	1
261009866	611823	1
14199907	187344972	1
346795430	18657572	1
287931993	188048136	1
609773889	22114874	1
330367966	636923	1
406634784	188048136	1
370136412	6981492	1
122665484	12984782	1
16803469	636923	1
73221331	145201486	1
318393568	198732594	2
88614100	15830701	1
33799821	979811	1
256693196	14231571	1
122665484	479719592	1
1123327922	972651	1
324229844	14149386	1
19568260	281348032	1
539355195	117117530	1
456239997	188048136	1
55874022	15027362	1
9427242	36183	1
423119615	223028814	1
96517813	979811	1
76447189	14231571	1
723829807	14097734	13
107448374	12273252	1
32572068	14231571	1
48633265	318393568	1
316684380	24490048	1
16573230	15086405	1
332397661	83271185	1
287387862	784912	1
19182150	6312822	1
749911052	229256967	1
357023592	12273252	1
15791237	1006521	1
38841221	277568858	1
6985162	784912	1
237439400	188048136	1
14344677	83271185	1
295944969	188048136	1
470027626	214121628	1
60179336	14231571	1
14546264	14209427	1
2024491	636923	1
279827939	188048136	1
43998903	37019708	1
15152640	755859	1
14335967	14231571	1
60935781	14157068	1
22913041	18865450	1
15461835	19225408	1
158778628	14151652	1
11087102	25338609	1
34590891	14539324	1
15143065	14231571	1
99052602	188048136	1
7285302	14231571	1
362072815	14231571	1
96323946	14231571	1
203024248	37019708	1
107530760	4641021	1
15080070	14231571	1
17804002	20904050	1
102851047	188048136	1
241316444	16662889	1
1146133807	784912	2
401063066	316126825	1
14355425	277568858	1
267724455	15830701	1
14060640	1622441	1
62113055	784912	1
25416553	188048136	1
24905818	14231571	1
310418828	14231571	1
14227194	94316318	1
333529041	188048136	1
146854128	15066271	1
448829458	188048136	1
207793156	1475774791	1
34590891	762386762	1
406766014	1197619002	1
14463726	216117499	1
23915691	2172	1
147998591	23978155	2
18022397	83271185	1
159576280	481547216	1
10221	817386	1
14237651	16318564	1
7131752	16318564	1
107770370	20904050	1
113967171	784912	1
121233033	755859	1
39247962	465739353	1
51860670	16318564	1
9364102	277568858	1
223867718	14231571	1
309563555	117117530	1
31541791	979811	1
30054058	2242231	1
47202820	5834352	1
289703458	275686563	1
363329873	51813392	1
68961019	273684907	1
17506533	784912	1
75247810	15661911	1
65565806	78453	1
16218411	15830701	1
15063088	18865450	1
318393568	1006521	1
3257461	36183	1
1897081	755859	1
377781036	83271185	1
18784415	784912	1
77923438	979811	1
17703257	16318564	1
5777542	19312115	2
224448199	784912	1
474644093	15830701	1
390452836	275686563	1
323888508	188048136	1
15791237	19312115	1
195194064	147998591	1
44166385	9688342	1
232086298	15958614	1
275747067	188048136	1
1187071904	83271185	1
2913451	273684907	1
312472901	51439690	1
9580792	636923	1
242589912	6187302	1
310418828	611823	1
16369316	14231571	1
1285238412	37019708	1
49292083	611823	1
1405765963	15383958	1
196621155	15403842	1
19105759	273684907	1
60934228	979811	1
135404361	83271185	1
74587646	188048136	1
14161143	784912	1
711436304	188048136	1
14663958	2172	1
18794580	12273252	1
80680080	25338609	1
